Region,Year,Population,Total_Vehicles,BNP,Trafikkarbeid,Population_Percent_Change,Total_Vehicles_Percent_Change,BNP_Percent_Change,trafikkarbeid_lagged
Agder,2009,275592,126558,90679,0.55,1.29303057256482,2.59324410865847,2.37885562028632,2.8
Agder,2010,278876,129837,92589,0.5,1.1916165926442,2.59090693595032,2.10633112407503,0.55
Agder,2011,282456,133327,95951,1.4,1.28372466615987,2.68798570515338,3.63110088671441,0.5
Agder,2012,285819,136387,101035,1.8,1.19062792080891,2.29510901767833,5.29853779533303,1.4
Agder,2013,289125,139233,102455,0.65,1.15667607821732,2.08670914383335,1.40545355569852,1.8
Agder,2014,292225,141673,109389,2.2,1.07220060527453,1.75245810978719,6.76784929969254,0.65
Agder,2015,295644,144949,111020,2.4,1.16998887843272,2.31236721181876,1.49100915082869,2.2
Agder,2016,298486,147579,109589,0.1,0.961291282758991,1.81443128272703,-1.28895694469465,2.4
Agder,2017,300789,150212,111563,1.3,0.771560475198174,1.78412917827062,1.80127567547839,0.1
Agder,2018,303754,150919,119894,1.2,0.985740834937454,0.47066812238703,7.46752955729051,1.3
Agder,2019,305244,154272,123503,1.8,0.490528519789035,2.22172158575129,3.01015897376016,1.2
Finnmark - Finnmárku - Finmarkku,2009,72492,31119,20705,3.8,0.128454812911771,2.46624958840962,6.95283847306163,3.2
Finnmark - Finnmárku - Finmarkku,2010,72856,32145,22841,0.6,0.502124372344537,3.29702111250361,10.3163487080416,3.8
Finnmark - Finnmárku - Finmarkku,2011,73417,33139,24092,2.3,0.770012078620841,3.09223829522476,5.47699312639551,0.6
Finnmark - Finnmárku - Finmarkku,2015,75605,36869,29277,3.1,0.52920605794673,2.9515246286161,5.43051604306961,2.7
Finnmark - Finnmárku - Finmarkku,2016,75758,37709,31797,-0.2,0.202367568282513,2.27833681412568,8.60743928681218,3.1
Finnmark - Finnmárku - Finmarkku,2017,76149,38574,32742,-0.2,0.516117109744196,2.2938820971121,2.97197848853665,-0.2
Finnmark - Finnmárku - Finmarkku,2018,76167,39030,34566,0.1,0.0236378678643234,1.18214341266139,5.57082646142568,-0.2
Finnmark - Finnmárku - Finmarkku,2019,75865,39459,35777,-0.1,-0.396497170690724,1.09915449654112,3.50344268934792,0.1
Innlandet,2009,359556,188795,97844,0.45,0.414441788243702,1.93784218653823,-0.588277130345549,1
Innlandet,2010,361057,192903,101151,0.45,0.417459310927915,2.17590508223204,3.37986999713831,0.45
Innlandet,2011,362696,197396,106270,-0.1,0.453944944980989,2.32914988362027,5.0607507587666,0.45
Innlandet,2012,364679,201508,110466,1.4,0.546738866709307,2.08312225171736,3.94843323609673,-0.1
Innlandet,2013,365649,205437,115344,2.2,0.265987347777097,1.9497985191655,4.41583835750368,1.4
Innlandet,2014,366785,208889,121936,1,0.310680461316726,1.68032048754605,5.7150783742544,2.2
Innlandet,2015,368358,212852,129179,3.75,0.428861594667174,1.89717984192561,5.94000131216377,1
Innlandet,2016,368636,217047,134235,1.65,0.0754700590186674,1.97085298705204,3.91394886165708,3.75
Innlandet,2017,369893,222200,139516,1.8,0.340986772859941,2.37414016319046,3.93414534212389,1.65
Innlandet,2018,370994,223921,146116,1.45,0.297653645784046,0.774527452745266,4.73064021330887,1.8
Innlandet,2019,371054,227795,151070,0.35,0.0161727682927548,1.73007444589832,3.39045689725972,1.45
Nordland,2009,234047,105294,69019,0.6,0.166482637016485,2.40714264873223,-0.829070636243467,1.2
Nordland,2010,234926,108116,75105,0.8,0.375565591526494,2.68011472638516,8.81786174821426,0.6
Nordland,2011,235955,111432,74910,2.8,0.438010267062827,3.06707610344446,-0.259636508887562,0.8
Nordland,2012,237036,114576,78356,1.5,0.458138204318614,2.8214516476416,4.6001868909358,2.8
Nordland,2013,238333,116852,83275,-0.3,0.547174268887418,1.98645440580925,6.27775792536627,1.5
Nordland,2014,239621,118867,88980,1.6,0.540420336252212,1.72440351898127,6.85079555688983,-0.3
Nordland,2015,240402,121510,91537,0.4,0.32593136661645,2.22349348431441,2.8736794785345,1.6
Nordland,2016,240623,123805,98618,0.1,0.0919293516692843,1.88873343757716,7.73566972918056,0.4
Nordland,2017,241614,126828,102664,1.5,0.411847578992863,2.44174306368887,4.10269930438663,0.1
Nordland,2018,242076,128093,108910,0.2,0.191214085276514,0.997413820292059,6.08392425777293,1.5
Nordland,2019,242126,129841,111447,0.9,0.0206546704340838,1.3646335084665,2.32944633183363,0.2
Oslo,2009,575475,204229,347167,-2.9,2.67465262166271,1.17258324994303,-0.174538637160915,-0.3
Oslo,2010,586860,217644,381630,0.4,1.97836569790173,6.5686068090232,9.92692277779859,-2.9
Oslo,2011,599230,225138,402519,0.6,2.10782810210273,3.44323758063627,5.47362628724157,0.4
Oslo,2012,613285,233665,434505,1.3,2.34551007125812,3.78745480549707,7.94645718587197,0.6
Oslo,2013,623966,240591,458716,0.7,1.74160463732196,2.96407249695077,5.57208777804628,1.3
Oslo,2014,634463,249196,481470,1,1.68230320241809,3.57660926634829,4.96036763487648,0.7
Oslo,2017,666759,261506,540309,0.6,1.27113109251356,1.2564808468952,4.56190395095368,-1.4
Oslo,2018,673469,265008,563722,-1.8,1.00636061905426,1.33916621415953,4.33326115241464,0.6
Oslo,2019,681071,266213,599951,0.5,1.12878246808688,0.454703254241373,6.42674935517862,-1.8
Rogaland,2009,420574,192567,176800,1.4,1.91113361942585,2.75939721232044,0.705163987651081,1.8
Rogaland,2010,427947,198886,194251,1,1.753080314047,3.28145528569277,9.87047511312218,1.4
Rogaland,2011,436087,205689,193715,1.9,1.90210469988106,3.42055247729856,-0.275931655435491,1
