Tid,Fylke,Befolkning,Personbiler,Bruttoprodukt,Befolkning_pct_increase,Personbiler_pct_increase,Bruttoprodukt_pct_increase
2000,Akershus (-2019),467052.0,,,1.0568416364773088,,
2001,Akershus (-2019),471988.0,,,1.130749086841191,,
2002,Akershus (-2019),477325.0,,,1.248206148850364,,
2003,Akershus (-2019),483283.0,,,1.1039080621499204,,
2004,Akershus (-2019),488618.0,,,1.146089583273641,,
2005,Akershus (-2019),494218.0,,,1.3975614000299463,,
2006,Akershus (-2019),501125.0,,,1.6067847343477177,,
2007,Akershus (-2019),509177.0,,,1.84415242636647,,
2008,Akershus (-2019),518567.0,261288.0,182801.0,1.7467366801204087,,
2009,Akershus (-2019),527625.0,266829.0,187760.0,1.6818763326226012,2.1206484798383394,2.7127860350873356
2010,Akershus (-2019),536499.0,275491.0,187174.0,1.706247355540271,3.246273830805497,-0.312100553898594
2011,Akershus (-2019),545653.0,284997.0,193220.0,1.9428098076982991,3.450566443186892,3.2301494865739895
2012,Akershus (-2019),556254.0,292969.0,209317.0,1.823807109701683,2.7972224269027395,8.330918124417762
2013,Akershus (-2019),566399.0,299864.0,224365.0,1.652192182542695,2.353491325020736,7.1890959644940455
2014,Akershus (-2019),575757.0,306297.0,236141.0,1.5878226404542193,2.1453058719953044,5.248590466427474
2015,Akershus (-2019),584899.0,314194.0,242435.0,1.6471219817438567,2.5782165675798328,2.6653567148440973
2016,Akershus (-2019),594533.0,321941.0,256201.0,1.6542395459966057,2.4656740739797707,5.678223028853094
2017,Akershus (-2019),604368.0,331474.0,265956.0,1.5980329865247662,2.9611015682997817,3.8075573475513367
2000,Aust-Agder (-2019),102178.0,,,0.5245747616903834,,
2001,Aust-Agder (-2019),102714.0,,,0.22489631403703486,,
2002,Aust-Agder (-2019),102945.0,,,0.24284812278401088,,
2003,Aust-Agder (-2019),103195.0,,,0.17345801637676245,,
2004,Aust-Agder (-2019),103374.0,,,0.21475419351094086,,
2005,Aust-Agder (-2019),103596.0,,,0.47106065871269165,,
2006,Aust-Agder (-2019),104084.0,,,0.6485146612351562,,
2007,Aust-Agder (-2019),104759.0,,,1.3087181053656487,,
2008,Aust-Agder (-2019),106130.0,50623.0,30282.0,1.1580137567134645,,
2009,Aust-Agder (-2019),107359.0,51847.0,30412.0,1.0618578787060236,2.41787329869822,0.4292979327653391
2010,Aust-Agder (-2019),108499.0,53401.0,30046.0,1.4276629277689195,2.997280459814454,-1.2034723135604366
2011,Aust-Agder (-2019),110048.0,54924.0,30645.0,1.314880779296307,2.8520065167318966,1.9936097983092589
2012,Aust-Agder (-2019),111495.0,56226.0,32883.0,1.1453428404861206,2.370548394144636,7.302985805188449
2013,Aust-Agder (-2019),112772.0,57390.0,33682.0,0.8645763132692512,2.0702166257603247,2.429826962260134
2014,Aust-Agder (-2019),113747.0,58373.0,35226.0,0.8967269466447467,1.7128419585293604,4.584050828335609
2015,Aust-Agder (-2019),114767.0,59710.0,37075.0,0.8870145599344759,2.2904424991006116,5.24896383353205
2016,Aust-Agder (-2019),115785.0,60741.0,37675.0,0.7669387226324653,1.7266789482498743,1.6183412002697235
2017,Aust-Agder (-2019),116673.0,61857.0,38725.0,0.47054588465197605,1.8373092309971848,2.78699402786994
2000,Buskerud (-2019),236811.0,,,0.853845471705284,,
2001,Buskerud (-2019),238833.0,,,0.401954503774604,,
2002,Buskerud (-2019),239793.0,,,0.6580675832905881,,
2003,Buskerud (-2019),241371.0,,,0.3977279789204171,,
2004,Buskerud (-2019),242331.0,,,0.4786841138773001,,
2005,Buskerud (-2019),243491.0,,,0.7121413111778259,,
2006,Buskerud (-2019),245225.0,,,0.9909266999694158,,
2007,Buskerud (-2019),247655.0,,,1.439502533766732,,
2008,Buskerud (-2019),251220.0,123879.0,77918.0,1.3589682350131358,,
2009,Buskerud (-2019),254634.0,126476.0,78422.0,1.1934776974009755,2.0964005198621236,0.6468338509715341
2010,Buskerud (-2019),257673.0,131051.0,81945.0,1.3338611340730306,3.6172870742275216,4.49236183723955
2011,Buskerud (-2019),261110.0,135630.0,84860.0,1.552602351499368,3.4940595645969887,3.5572640185490263
2012,Buskerud (-2019),265164.0,139991.0,89996.0,1.4477832586625634,3.2153653321536533,6.052321470657553
2013,Buskerud (-2019),269003.0,144069.0,94297.0,1.1988713880514343,2.9130444099977852,4.779101293390817
2014,Buskerud (-2019),272228.0,147762.0,98256.0,0.9216539077537946,2.5633550590342127,4.198436853770533
2015,Buskerud (-2019),274737.0,151319.0,103736.0,1.0726622187765025,2.407249495810831,5.57726754600228
2016,Buskerud (-2019),277684.0,154289.0,105303.0,0.7310468014001527,1.9627409644525802,1.5105652810981725
2017,Buskerud (-2019),279714.0,157869.0,107546.0,0.734678993543405,2.3203209561277864,2.1300437784298643
2000,Finnmark - Finnmárku (-2019),74059.0,,,0.03780769386570167,,
2001,Finnmark - Finnmárku (-2019),74087.0,,,-0.4791663854657362,,
2002,Finnmark - Finnmárku (-2019),73732.0,,,-0.29566538273748166,,
2003,Finnmark - Finnmárku (-2019),73514.0,,,-0.41352667519112,,
2004,Finnmark - Finnmárku (-2019),73210.0,,,-0.18576697172517417,,
2005,Finnmark - Finnmárku (-2019),73074.0,,,-0.18748118345786463,,
2006,Finnmark - Finnmárku (-2019),72937.0,,,-0.3729245787460411,,
2007,Finnmark - Finnmárku (-2019),72665.0,,,-0.36606344182206013,,
2008,Finnmark - Finnmárku (-2019),72399.0,30370.0,19359.0,0.12845481291178057,,
2009,Finnmark - Finnmárku (-2019),72492.0,31119.0,20705.0,0.5021243723445346,2.4662495884096147,6.952838473061624
2010,Finnmark - Finnmárku (-2019),72856.0,32145.0,22841.0,0.7700120786208411,3.2970211125036153,10.316348708041536
2011,Finnmark - Finnmárku (-2019),73417.0,33139.0,24092.0,0.5039704700546195,3.0922382952247625,5.476993126395517
2012,Finnmark - Finnmárku (-2019),73787.0,34241.0,24878.0,1.0123734533183353,3.3253870062464164,3.262493773866844
2013,Finnmark - Finnmárku (-2019),74534.0,35126.0,25977.0,0.9029436230445167,2.5846207762623754,4.4175576814856505
2014,Finnmark - Finnmárku (-2019),75207.0,35812.0,27769.0,0.5292060579467337,1.9529693104822639,6.898410132039881
2015,Finnmark - Finnmárku (-2019),75605.0,36869.0,29277.0,0.202367568282521,2.9515246286161063,5.43051604306961
2016,Finnmark - Finnmárku (-2019),75758.0,37709.0,31797.0,0.5161171097441855,2.278336814125688,8.607439286812173
2017,Finnmark - Finnmárku (-2019),76149.0,38574.0,32742.0,0.023637867864318637,2.2938820971120952,2.9719784885366543
2000,Hedmark (-2019),187103.0,,,0.47888061655879377,,
2001,Hedmark (-2019),187999.0,,,-0.018085202580864792,,
2002,Hedmark (-2019),187965.0,,,0.16811640464980182,,
2003,Hedmark (-2019),188281.0,,,0.02390044667279226,,
2004,Hedmark (-2019),188326.0,,,0.026549706360247654,,
2005,Hedmark (-2019),188376.0,,,0.07166518027774238,,
2006,Hedmark (-2019),188511.0,,,0.09601561712579107,,
2007,Hedmark (-2019),188692.0,,,0.31638861212982,,
2008,Hedmark (-2019),189289.0,98398.0,49302.0,0.41312490424694515,,
2009,Hedmark (-2019),190071.0,100132.0,49853.0,0.3356640413319233,1.7622309396532447,1.1176017200113586
2010,Hedmark (-2019),190709.0,102241.0,51033.0,0.4787398602058634,2.106219789877362,2.366958859045594
2011,Hedmark (-2019),191622.0,104770.0,53881.0,0.6100552128669986,2.4735673555618587,5.5807026825779396
2012,Hedmark (-2019),192791.0,107203.0,56068.0,0.4813502705001789,2.3222296458909994,4.058944711493847
2013,Hedmark (-2019),193719.0,109352.0,59106.0,0.36857510104842583,2.0046080799977615,5.4184204894057215
2014,Hedmark (-2019),194433.0,111141.0,62429.0,0.37030750952770364,1.6360011705318602,5.622102663012216
2015,Hedmark (-2019),195153.0,113354.0,66097.0,0.10402094766670253,1.9911643767826455,5.87547453907639
2016,Hedmark (-2019),195356.0,115616.0,68505.0,0.4269129179549131,1.9955184642800432,3.643130550554488
2017,Hedmark (-2019),196190.0,118353.0,70983.0,0.3955349406187879,2.367319402158871,3.6172542150208016
2000,Hordaland (-2019),435219.0,,,0.7106766938024306,,
2001,Hordaland (-2019),438312.0,,,-0.013460731168665242,,
2002,Hordaland (-2019),438253.0,,,0.7774048323685178,,
2003,Hordaland (-2019),441660.0,,,0.7695965222116561,,
2004,Hordaland (-2019),445059.0,,,0.7378796968491818,,
2005,Hordaland (-2019),448343.0,,,0.9519497349127788,,
2006,Hordaland (-2019),452611.0,,,0.9058551382975668,,
2007,Hordaland (-2019),456711.0,,,1.3056396714771485,,
2008,Hordaland (-2019),462674.0,201170.0,176952.0,1.514457263645677,,
2009,Hordaland (-2019),469681.0,206111.0,180041.0,1.5955510229283278,2.4561316299647062,1.7456711424567113
2010,Hordaland (-2019),477175.0,204698.0,183848.0,1.4805888824854614,-0.685552930217213,2.1145183597069557
2011,Hordaland (-2019),484240.0,210055.0,195662.0,1.3072030398149679,2.6170260578999307,6.425960576128106
2012,Hordaland (-2019),490570.0,215686.0,211128.0,1.5420836985547426,2.6807264763990384,7.904447465527287
2013,Hordaland (-2019),498135.0,220935.0,225754.0,1.4275246670079396,2.4336303700750164,6.927551059073169
2014,Hordaland (-2019),505246.0,225479.0,236093.0,1.2095098229377372,2.0567135130241927,4.579763813708728
2015,Hordaland (-2019),511357.0,231083.0,241307.0,1.0051686004102809,2.485375578213492,2.208451754181615
2016,Hordaland (-2019),516497.0,233653.0,244074.0,0.6710590768194201,1.112154507254969,1.146672081622166
2017,Hordaland (-2019),519963.0,236963.0,248904.0,0.4954198664135718,1.4166306445883425,1.978908036087416
2000,Møre og Romsdal,243158.0,,,0.26813841206129346,,
2001,Møre og Romsdal,243810.0,,,0.018456995201181246,,
2002,Møre og Romsdal,243855.0,,,0.1861762112730926,,
2003,Møre og Romsdal,244309.0,,,0.10683192186943583,,
2004,Møre og Romsdal,244570.0,,,0.048656826266508565,,
2005,Møre og Romsdal,244689.0,,,0.11810910993138228,,
2006,Møre og Romsdal,244978.0,,,0.166137367437076,,
2007,Møre og Romsdal,245385.0,,,0.5652342237708091,,
2008,Møre og Romsdal,246772.0,115553.0,86329.0,0.7922292642601269,,
2009,Møre og Romsdal,248727.0,118478.0,87742.0,1.0191897140238093,2.5313059808053446,1.6367616907412341
2010,Møre og Romsdal,251262.0,121991.0,93638.0,1.0514920680405315,2.965107446108138,6.719700941396367
2011,Møre og Romsdal,253904.0,125740.0,97640.0,1.0728464301468272,3.07317752948988,4.2739058929067255
2012,Møre og Romsdal,256628.0,128987.0,102534.0,1.0817214021852644,2.5823127087641162,5.012290045063499
2013,Møre og Romsdal,259404.0,132166.0,108893.0,0.8195710166381397,2.464589454751254,6.201845241578403
2014,Møre og Romsdal,261530.0,134978.0,114884.0,0.8369976675715979,2.1276273776916907,5.5017310570927425
2015,Møre og Romsdal,263719.0,138074.0,116118.0,0.5957098275057922,2.2937071226422083,1.0741269454406184
2016,Møre og Romsdal,265290.0,140462.0,112933.0,0.3709148479022956,1.7295073656155395,-2.742899464338001
2017,Møre og Romsdal,266274.0,143190.0,117188.0,0.21857184704477342,1.9421622930045137,3.7677206839453485
2000,Nord-Trøndelag (-2017),127108.0,,,0.12037007898794726,,
2001,Nord-Trøndelag (-2017),127261.0,,,0.15401419130762764,,
2002,Nord-Trøndelag (-2017),127457.0,,,0.12004048424174428,,
2003,Nord-Trøndelag (-2017),127610.0,,,0.2844604654807617,,
2004,Nord-Trøndelag (-2017),127973.0,,,0.36804638478429047,,
2005,Nord-Trøndelag (-2017),128444.0,,,0.19463735168633803,,
2006,Nord-Trøndelag (-2017),128694.0,,,0.2913888759382722,,
2007,Nord-Trøndelag (-2017),129069.0,,,0.6097513732964539,,
2008,Nord-Trøndelag (-2017),129856.0,63123.0,32620.0,0.6561113849186792,,
2009,Nord-Trøndelag (-2017),130708.0,64487.0,33331.0,0.6480093031796064,2.1608605421161857,2.1796443899448192
2010,Nord-Trøndelag (-2017),131555.0,66122.0,35241.0,0.44468093192961117,2.5353947307209204,5.730401128078966
2011,Nord-Trøndelag (-2017),132140.0,67923.0,36749.0,0.9459663992734978,2.7237530625207946,4.279106722283704
2012,Nord-Trøndelag (-2017),133390.0,69868.0,39608.0,0.7894144988379939,2.8635366517968874,7.7798035320689
2013,Nord-Trøndelag (-2017),134443.0,71299.0,41720.0,0.5199229413208573,2.0481479361080894,5.332256109876793
2014,Nord-Trøndelag (-2017),135142.0,72569.0,43011.0,0.44101759630610765,1.7812311533121084,3.094439117929051
2015,Nord-Trøndelag (-2017),135738.0,74104.0,45303.0,0.4869675404087286,2.1152282655128225,5.328869359001185
2016,Nord-Trøndelag (-2017),136399.0,75573.0,48344.0,0.6114414328550797,1.9823491309510957,6.712579740856015
2017,Nord-Trøndelag (-2017),137233.0,77299.0,49547.0,-100.0,2.2838844560888147,2.488416349495284
2000,Nordland - Nordlánnda,239109.0,,,-0.3404305149534313,,
2001,Nordland - Nordlánnda,238295.0,,,-0.33236114899599234,,
2002,Nordland - Nordlánnda,237503.0,,,-0.23283916413687405,,
2003,Nordland - Nordlánnda,236950.0,,,0.04515720616163748,,
2004,Nordland - Nordlánnda,237057.0,,,-0.09786675778399288,,
2005,Nordland - Nordlánnda,236825.0,,,-0.2398395439670643,,
2006,Nordland - Nordlánnda,236257.0,,,-0.3475029311300829,,
2007,Nordland - Nordlánnda,235436.0,,,-0.1868873069539068,,
2008,Nordland - Nordlánnda,234996.0,103513.0,69596.0,0.16340703671551857,,
2009,Nordland - Nordlánnda,235380.0,105984.0,69019.0,0.3785368340555697,2.387139779544598,-0.8290706362434622
